1,2,3,4,5,6,7,8,9
citrus fruit,semi-finished bread,margarine,ready soups,,,,,
tropical fruit,yogurt,coffee,,,,,,
whole milk,,,,,,,,
pip fruit,yogurt,cream cheese ,meat spreads,,,,,
other vegetables,whole milk,condensed milk,long life bakery product,,,,,
whole milk,butter,yogurt,rice,abrasive cleaner,,,,
rolls/buns,,,,,,,,
other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,
pot plants,,,,,,,,
whole milk,cereals,,,,,,,
tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,
citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes
beef,,,,,,,,
frankfurter,rolls/buns,soda,,,,,,
chicken,tropical fruit,,,,,,,
butter,sugar,fruit/vegetable juice,newspapers,,,,,
fruit/vegetable juice,,,,,,,,
packaged fruit/vegetables,,,,,,,,
chocolate,,,,,,,,
specialty bar,,,,,,,,
other vegetables,,,,,,,,
butter milk,pastry,,,,,,,
whole milk,,,,,,,,
tropical fruit,cream cheese ,processed cheese,detergent,newspapers,,,,
tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles
bottled water,canned beer,,,,,,,
yogurt,,,,,,,,
sausage,rolls/buns,soda,chocolate,,,,,
other vegetables,,,,,,,,
brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags,,,
yogurt,beverages,bottled water,specialty bar,,,,,
hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins,,
root vegetables,other vegetables,whole milk,beverages,sugar,,,,
pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner,
beef,grapes,detergent,,,,,,
pastry,soda,,,,,,,
fruit/vegetable juice,,,,,,,,
canned beer,,,,,,,,
root vegetables,other vegetables,whole milk,dessert,,,,,
citrus fruit,zwieback,newspapers,,,,,,
sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags,,,
tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals
berries,yogurt,,,,,,,
canned beer,,,,,,,,
butter milk,yogurt,cream cheese ,spread cheese,rolls/buns,bottled water,soda,newspapers,
coffee,,,,,,,,
pastry,bottled water,,,,,,,
rolls/buns,,,,,,,,
misc. beverages,,,,,,,,
root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water
sausage,rolls/buns,cat food,newspapers,,,,,
canned beer,,,,,,,,
ham,grapes,other vegetables,whole milk,,,,,
turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder
whole milk,yogurt,processed cheese,pickled vegetables,soda,,,,
whole milk,curd,yogurt,pastry,,,,,
packaged fruit/vegetables,brown bread,canned beer,,,,,,
rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins,,
ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food,,,
rolls/buns,pastry,sugar,,,,,,
other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent,,
sausage,pastry,,,,,,,
sausage,beef,whole milk,,,,,,
